source,target,distance
东营区,岱岳区,1.7120892664764207
东营区,峄城区,2.8180794991943494
东营区,崂山区,2.320201040820484
东营区,巨野县,3.203107281098346
东营区,市中区,1.7608483413389906
东营区,市北区,2.2409122866907905
东营区,市南区,2.2192761937293306
东营区,平原县,2.1478211604987774
东营区,平度市,1.5015366532666923
东营区,平邑县,2.1249461450099596
东营区,平阴县,2.4067109406251173
东营区,广饶县,0.2647398167273658
东营区,庆云县,1.1908487259231024
东营区,张店区,0.8281099096062081
东营区,微山县,2.9821522285945106
东营区,德城区,2.1775856907952056
东营区,惠民县,1.0795336132706839
东营区,成武县,3.6475407749764965
东营区,招远市,1.8017358560966077
东营区,文登区,3.44624373385691
东营区,新泰市,1.8125101276399653
东营区,无棣县,1.0280605008560788
东营区,昌乐县,0.936130490957931
东营区,昌邑市,1.0524906792580726
东营区,曲阜市,2.429075936932616
东营区,曹县,3.9928585633991376
东营区,李沧区,2.2079748712339096
东营区,栖霞市,2.331811843332103
东营区,桓台县,0.7175258550909615
东营区,梁山县,2.964120728947606
东营区,槐荫区,1.7864592154597911
东营区,武城县,2.5167956315458686
东营区,汶上县,2.6848031036108533
东营区,沂南县,1.8623504139014855
东营区,沂水县,1.6184055234674921
东营区,沂源县,1.303596387692461
东营区,河东区,2.2951907581510174
东营区,河口区,0.5550177926890831
东营区,沾化区,0.5394280597134851
东营区,泗水县,2.1827991415532333
东营区,泰山区,1.8264954054640974
东营区,济阳区,1.4335805286717467
东营区,海阳市,2.6218248514300693
东营区,淄川区,0.9847556622443978
东营区,滕州市,2.7251669286008693
东营区,滨城区,0.5672955559531593
东营区,潍城区,0.8326569513803649
东营区,牟平区,2.9609433083826007
东营区,牡丹区,3.83298215393515
东营区,环翠区,3.5496764853460934
东营区,福山区,2.6241760221153636
东营区,禹城市,2.069985848896482
东营区,章丘区,1.2612767969494518
东营区,罗庄区,2.4307859342279414
东营区,肥城市,2.265803174751946
东营区,胶州市,1.7713828070591882
东营区,芝罘区,2.777331408862701
东营区,茌平区,2.4741972265722776
东营区,荣成市,3.857198291365365
东营区,莒南县,2.2472301291816046
东营区,莒县,1.845489810655503
东营区,莘县,3.1437970435573925
东营区,莱山区,2.8637451054611742
东营区,莱州市,1.356061111720196
东营区,莱芜区,1.5027476529424946
东营区,莱西市,1.9284789218234841
东营区,莱阳市,2.234157536180866
东营区,蒙阴县,1.815589055387164
东营区,蓬莱区,2.2941898276118957
东营区,薛城区,2.929465962588778
东营区,诸城市,1.5787355196908477
东营区,费县,2.2299375558091885
东营区,邹城市,2.5727982613823435
东营区,邹平市,1.0048373986145291
东营区,郓城县,3.202948347476542
东营区,郯城县,2.803414542030745
东营区,鄄城县,3.5876210682814276
东营区,金乡县,3.2649605088203804
东营区,钢城区,1.556799066295328
东营区,长清区,2.0228230799797475
东营区,阳信县,1.0353275754073825
东营区,阳谷县,3.0802226949136324
东营区,青州市,0.7419673743443502
东营区,高唐县,2.4172142416160245
东营区,高密市,1.5074018077067675
东营区,高青县,0.32383693609983444
东营区,鱼台县,3.095136762313676
东营区,黄岛区,2.2172445887720187
东营区,齐河县,2.026965202485502
东营区,龙口市,1.909545867628598
东阿县,东平县,0.375561646945504
东阿县,东昌府区,0.2949273020350045
东阿县,东明县,1.5598646938243164
东阿县,东港区,3.340781312298901
东阿县,东营区,2.573953775553026
东阿县,东阿县,0.1
东阿县,临朐县,2.2863551003010847
东阿县,临沭县,2.788836216393782
东阿县,临淄区,2.11744093077688
东阿县,临清市,0.7250681861621867
东阿县,临邑县,1.1240556380915734
东阿县,乐陵市,1.5870324343734474
东阿县,乳山市,5.306669383679847
东阿县,五莲县,3.0183193377649173
东阿县,任城区,0.9912228323540997
东阿县,兖州区,0.9765825766576464
东阿县,兰山区,2.452577895263545
东阿县,兰陵县,2.340678151952434
东阿县,冠县,0.8185710029043195
东阿县,利津县,2.5962551333980626
东阿县,单县,1.548776482891976
东阿县,博兴县,2.0494364750035725
东阿县,博山区,1.6184217703239814
东阿县,即墨区,4.314845519861869
东阿县,历下区,0.8930565307878832
东阿县,历城区,0.8894748194232883
东阿县,台儿庄区,2.3128392129017366
东阿县,周村区,1.6876376830909323
东阿县,商河县,1.3841955520901805
东阿县,嘉祥县,0.9321794634630487
东阿县,坊子区,3.021749094640357
东阿县,垦利区,2.8543434980757314
东阿县,城阳区,4.1016643944678375
东阿县,夏津县,0.7250586320762348
东阿县,天桥区,0.8155433440700725
东阿县,奎文区,2.9330419336499878
东阿县,宁津县,1.4469474153961372
东阿县,宁阳县,0.8765925096830446
东阿县,安丘市,2.8597055200878168
东阿县,定陶区,1.432374235994646
东阿县,寒亭区,3.023817330835502
东阿县,寿光市,2.6917654821926726
东阿县,山亭区,1.7318511348644308
东阿县,岚山区,3.302095469130653
东阿县,岱岳区,1.1588975217716622
东阿县,峄城区,2.0606350561996254
东阿县,崂山区,4.317806054309412
东阿县,巨野县,0.9510009270798213
东阿县,市中区,0.8136849637559808
东阿县,市北区,4.164469231618649
东阿县,市南区,4.117811339826081
东阿县,平原县,0.8289228452831147
东阿县,平度市,3.7191749723921617
东阿县,平邑县,1.6207821207243396
东阿县,平阴县,0.21354358854007
东阿县,广饶县,2.5006499889065723
东阿县,庆云县,1.8865195816410936
东阿县,张店区,1.8324675081800677
东阿县,微山县,1.7637745584235458
东阿县,德城区,1.1076678671891242
东阿县,惠民县,1.7113893286625002
东阿县,成武县,1.4274779331365701
东阿县,招远市,4.254630119660075
东阿县,文登区,5.832062280265554
东阿县,新泰市,1.4495212064850393
东阿县,无棣县,1.9594874513504972
东阿县,昌乐县,2.7144313575577397
东阿县,昌邑市,3.215315726164279
东阿县,曲阜市,1.0555527242538683
东阿县,曹县,1.666320155477281
东阿县,李沧区,4.182543399830583
东阿县,栖霞市,4.771912532150692
东阿县,桓台县,1.8781159795470332
东阿县,梁山县,0.5536989494853126
东阿县,槐荫区,0.7876338356569648
东阿县,武城县,0.8958727247764299
东阿县,汶上县,0.6488145740306501
东阿县,沂南县,2.352868281715109
东阿县,沂水县,2.4417705844357487
东阿县,沂源县,1.9756386358164268
东阿县,河东区,2.5615917841574376
东阿县,河口区,2.8830530119580855
东阿县,沾化区,2.326009080974503
东阿县,泗水县,1.2323483848790193
东阿县,泰山区,0.9654105198389719
东阿县,济阳区,1.1653296814900418
东阿县,海阳市,4.935796207129855
东阿县,淄川区,1.7466826754219154
东阿县,滕州市,1.5508852827357151
东阿县,滨城区,2.060432962639074
东阿县,潍城区,2.8082589826590802
东阿县,牟平区,5.378983415537861
东阿县,牡丹区,1.3638940412883747
东阿县,环翠区,5.98757593205291
东阿县,福山区,5.08615709117323
东阿县,禹城市,0.6829837693015881
东阿县,章丘区,1.341174125840865
东阿县,罗庄区,2.437557606874485
东阿县,肥城市,0.5416302299833833
东阿县,胶州市,3.683718683655739
东阿县,芝罘区,5.250995653014926
